,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,232790,18,Goal,0.965,0.4879999923706055,0.7736999988555908,Mohamed Salah,h,1250,OpenPlay,2018,RightFoot,9205,Liverpool,West Ham,4,0,2018-08-12 15:30:00,Andrew Robertson,Pass
1,232796,35,SavedShot,0.8919999694824219,0.484000015258789,0.098326601088047,Mohamed Salah,h,1250,OpenPlay,2018,Head,9205,Liverpool,West Ham,4,0,2018-08-12 15:30:00,Sadio Mané,Cross
2,232797,36,SavedShot,0.9569999694824218,0.4470000076293945,0.6361520290374756,Mohamed Salah,h,1250,OpenPlay,2018,RightFoot,9205,Liverpool,West Ham,4,0,2018-08-12 15:30:00,Roberto Firmino,Pass
3,232802,64,MissedShots,0.8190000152587891,0.515,0.0417608991265296,Mohamed Salah,h,1250,SetPiece,2018,LeftFoot,9205,Liverpool,West Ham,4,0,2018-08-12 15:30:00,,Rebound
4,233033,2,BlockedShot,0.879000015258789,0.355,0.0593822002410888,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,Sadio Mané,Chipped
5,233034,22,MissedShots,0.8590000152587891,0.509000015258789,0.3246940076351166,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,Naby Keita,Throughball
6,233037,26,BlockedShot,0.8190000152587891,0.5590000152587891,0.0919101983308792,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,Roberto Firmino,TakeOn
7,233046,59,BlockedShot,0.784000015258789,0.4909999847412109,0.0151385003700852,Mohamed Salah,a,1250,FromCorner,2018,LeftFoot,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,Joseph Gomez,Aerial
8,233050,76,BlockedShot,0.8180000305175781,0.5,0.1714940071105957,Mohamed Salah,a,1250,DirectFreekick,2018,LeftFoot,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,,Standard
9,233053,83,SavedShot,0.91,0.485,0.0702190026640892,Mohamed Salah,a,1250,OpenPlay,2018,Head,9216,Crystal Palace,Liverpool,0,2,2018-08-20 22:00:00,Sadio Mané,Chipped
10,233318,18,SavedShot,0.9790000152587892,0.705999984741211,0.0451408997178077,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,Naby Keita,Chipped
11,233319,22,Goal,0.860999984741211,0.385,0.0809404030442237,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,Roberto Firmino,Pass
12,233327,57,BlockedShot,0.874000015258789,0.51,0.1099060028791427,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,,Rebound
13,233332,71,BlockedShot,0.7330000305175781,0.4520000076293945,0.0222948007285594,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,Jordan Henderson,Pass
14,233336,86,MissedShots,0.8590000152587891,0.2760000038146972,0.0463804006576538,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,Trent Alexander-Arnold,Chipped
15,233341,92,MissedShots,0.8440000152587891,0.44,0.0775038003921508,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9223,Liverpool,Brighton,1,0,2018-08-25 19:30:00,Georginio Wijnaldum,Pass
16,233645,3,MissedShots,0.8930000305175781,0.4640000152587891,0.3794299960136413,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9227,Leicester,Liverpool,1,2,2018-09-01 11:30:00,,Rebound
17,233655,42,SavedShot,0.765,0.4409999847412109,0.0335757993161678,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9227,Leicester,Liverpool,1,2,2018-09-01 11:30:00,Joseph Gomez,Pass
18,233660,53,BlockedShot,0.7819999694824219,0.5990000152587891,0.0337979011237621,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9227,Leicester,Liverpool,1,2,2018-09-01 11:30:00,Roberto Firmino,Pass
19,233916,21,SavedShot,0.8969999694824219,0.629000015258789,0.3321030139923095,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9237,Tottenham,Liverpool,1,2,2018-09-15 11:30:00,,BallRecovery
20,233932,80,SavedShot,0.85,0.379000015258789,0.0857807025313377,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9237,Tottenham,Liverpool,1,2,2018-09-15 11:30:00,James Milner,Pass
21,233935,83,BlockedShot,0.8830000305175781,0.4479999923706054,0.1756290048360824,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9237,Tottenham,Liverpool,1,2,2018-09-15 11:30:00,Sadio Mané,TakeOn
22,233936,83,BlockedShot,0.909000015258789,0.365,0.1966789960861206,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9237,Tottenham,Liverpool,1,2,2018-09-15 11:30:00,Andrew Robertson,TakeOn
23,234185,42,MissedShots,0.970999984741211,0.5929999923706055,0.219552993774414,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9249,Liverpool,Southampton,3,0,2018-09-22 14:00:00,Roberto Firmino,TakeOn
24,234189,47,Goal,0.990999984741211,0.4820000076293945,0.973721981048584,Mohamed Salah,h,1250,SetPiece,2018,LeftFoot,9249,Liverpool,Southampton,3,0,2018-09-22 14:00:00,,Rebound
25,234311,4,SavedShot,0.8030000305175782,0.37,0.0371745005249977,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9264,Chelsea,Liverpool,1,1,2018-09-29 16:30:00,,BallRecovery
26,234312,10,MissedShots,0.8109999847412109,0.3879999923706054,0.0444772988557815,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9264,Chelsea,Liverpool,1,1,2018-09-29 16:30:00,Trent Alexander-Arnold,Pass
27,234318,31,BlockedShot,0.965999984741211,0.354000015258789,0.5210970044136047,Mohamed Salah,a,1250,OpenPlay,2018,RightFoot,9264,Chelsea,Liverpool,1,1,2018-09-29 16:30:00,Roberto Firmino,TakeOn
28,234323,58,MissedShots,0.855,0.6229999923706054,0.0452575013041496,Mohamed Salah,a,1250,FromCorner,2018,LeftFoot,9264,Chelsea,Liverpool,1,1,2018-09-29 16:30:00,,None
29,249204,3,MissedShots,0.86,0.3529999923706055,0.0620944015681743,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9276,Liverpool,Manchester City,0,0,2018-10-07 15:30:00,Joseph Gomez,HeadPass
30,249211,61,SavedShot,0.86,0.3670000076293945,0.0692121013998985,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9276,Liverpool,Manchester City,0,0,2018-10-07 15:30:00,Joseph Gomez,Pass
31,249213,68,MissedShots,0.865,0.695,0.0394353009760379,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9276,Liverpool,Manchester City,0,0,2018-10-07 15:30:00,Andrew Robertson,Chipped
32,249400,23,Goal,0.9159999847412108,0.3629999923706055,0.0940088033676147,Mohamed Salah,a,1250,OpenPlay,2018,RightFoot,9284,Huddersfield,Liverpool,0,1,2018-10-20 16:30:00,Xherdan Shaqiri,Pass
33,249411,59,BlockedShot,0.7669999694824219,0.5729999923706055,0.0257798992097377,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9284,Huddersfield,Liverpool,0,1,2018-10-20 16:30:00,Georginio Wijnaldum,Pass
34,249412,63,MissedShots,0.8419999694824218,0.6020000076293945,0.1260869950056076,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9284,Huddersfield,Liverpool,0,1,2018-10-20 16:30:00,Daniel Sturridge,Chipped
35,249419,87,SavedShot,0.9840000152587892,0.39,0.1084579974412918,Mohamed Salah,a,1250,OpenPlay,2018,LeftFoot,9284,Huddersfield,Liverpool,0,1,2018-10-20 16:30:00,Joseph Gomez,TakeOn
36,249480,9,Goal,0.965,0.5929999923706055,0.3978790044784546,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9288,Liverpool,Cardiff,4,1,2018-10-27 14:00:00,,Rebound
37,249483,17,BlockedShot,0.815,0.4540000152587891,0.07255619764328,Mohamed Salah,h,1250,OpenPlay,2018,LeftFoot,9288,Liverpool,Cardiff,4,1,2018-10-27 14:00:00,Alberto Moreno,Pass
38,249494,81,SavedShot,0.7980000305175782,0.1820000076293945,0.0349907986819744,Mohamed Salah,h,1250,OpenPlay,2018,RightFoot,9288,Liverpool,Cardiff,4,1,2018-10-27 14:00:00,Xherdan Shaqiri,Pass
