,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,531929,3,Goal,0.936999969482422,0.5059999847412109,0.5058456659317017,Erling Haaland,a,8260,FromCorner,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Rodri,HeadPass
1,531931,10,MissedShots,0.9519999694824218,0.4209999847412109,0.1302468031644821,Erling Haaland,a,8260,OpenPlay,2023,RightFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Kevin De Bruyne,Cross
2,531935,35,Goal,0.8909999847412109,0.385,0.1132136583328247,Erling Haaland,a,8260,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Julián Álvarez,Pass
3,531938,51,BlockedShot,0.9440000152587892,0.6819999694824219,0.1327562630176544,Erling Haaland,a,8260,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Julián Álvarez,Throughball
4,533583,40,MissedShots,0.8619999694824219,0.62,0.0904695987701416,Erling Haaland,h,8260,OpenPlay,2023,LeftFoot,22291,Manchester City,Newcastle United,1,0,2023-08-19 19:00:00,Phil Foden,Pass
5,533586,49,SavedShot,0.8640000152587891,0.5870000076293945,0.0861922055482864,Erling Haaland,h,8260,OpenPlay,2023,LeftFoot,22291,Manchester City,Newcastle United,1,0,2023-08-19 19:00:00,,None
6,533587,62,MissedShots,0.87,0.53,0.1247357055544853,Erling Haaland,h,8260,OpenPlay,2023,LeftFoot,22291,Manchester City,Newcastle United,1,0,2023-08-19 19:00:00,Phil Foden,Pass
7,533588,64,SavedShot,0.895,0.3629999923706055,0.1065842360258102,Erling Haaland,h,8260,OpenPlay,2023,RightFoot,22291,Manchester City,Newcastle United,1,0,2023-08-19 19:00:00,Phil Foden,Pass
8,535207,7,MissedShots,0.8880000305175781,0.4279999923706055,0.0424993485212326,Erling Haaland,a,8260,OpenPlay,2023,Head,22303,Sheffield United,Manchester City,1,2,2023-08-27 13:00:00,Bernardo Silva,Cross
9,535208,11,SavedShot,0.904000015258789,0.5329999923706055,0.0838533341884613,Erling Haaland,a,8260,OpenPlay,2023,Head,22303,Sheffield United,Manchester City,1,2,2023-08-27 13:00:00,Julián Álvarez,Cross
