,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,376964,77,MissedShots,0.9359999847412108,0.4640000152587891,0.1186899989843368,Harry Kane,h,647,FromCorner,2020,Head,14093,Tottenham,Everton,0,1,2020-09-13 15:30:00,Son Heung-Min,Cross
1,376966,80,SavedShot,0.92,0.4490000152587891,0.0397525988519191,Harry Kane,h,647,OpenPlay,2020,Head,14093,Tottenham,Everton,0,1,2020-09-13 15:30:00,Ben Davies,Aerial
2,377890,53,MissedShots,0.4859999847412109,0.56,0.0074554500170052,Harry Kane,a,647,OpenPlay,2020,RightFoot,14100,Southampton,Tottenham,2,5,2020-09-20 11:00:00,Son Heung-Min,BallRecovery
3,377897,81,Goal,0.950999984741211,0.485,0.6780710220336914,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14100,Southampton,Tottenham,2,5,2020-09-20 11:00:00,,Rebound
4,379405,2,MissedShots,0.9769999694824218,0.4640000152587891,0.1905789971351623,Harry Kane,h,647,SetPiece,2020,RightFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,,Rebound
5,379404,2,SavedShot,0.943000030517578,0.4309999847412109,0.5324379801750183,Harry Kane,h,647,SetPiece,2020,RightFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,,Rebound
6,379406,8,SavedShot,0.926999969482422,0.5359999847412109,0.3511709868907928,Harry Kane,h,647,OpenPlay,2020,Head,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,Pierre-Emile Højbjerg,Cross
7,379409,26,SavedShot,0.8030000305175782,0.6959999847412109,0.0219557005912065,Harry Kane,h,647,FromCorner,2020,RightFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,Son Heung-Min,Pass
8,379414,38,MissedShots,0.9290000152587892,0.7180000305175781,0.0652571022510528,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,Giovani Lo Celso,Pass
9,379417,45,MissedShots,0.895,0.5790000152587891,0.104604996740818,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,,None
10,379422,59,SavedShot,0.885,0.4759999847412109,0.1194019988179206,Harry Kane,h,647,OpenPlay,2020,RightFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,Lucas Moura,BallTouch
11,379429,87,SavedShot,0.9440000152587892,0.4059999847412109,0.1224140003323555,Harry Kane,h,647,OpenPlay,2020,RightFoot,14111,Tottenham,Newcastle United,1,1,2020-09-27 13:00:00,,None
12,381359,14,BlockedShot,0.81,0.715,0.0315291993319988,Harry Kane,a,647,OpenPlay,2020,RightFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Tanguy NDombele Alvaro,Pass
13,381368,30,Goal,0.885,0.4579999923706054,0.4191539883613586,Harry Kane,a,647,OpenPlay,2020,RightFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Son Heung-Min,Pass
14,381370,46,MissedShots,0.9469999694824218,0.5820000076293945,0.0823232010006904,Harry Kane,a,647,FromCorner,2020,Head,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Son Heung-Min,Cross
15,381374,54,MissedShots,0.7959999847412109,0.69,0.0228704009205102,Harry Kane,a,647,OpenPlay,2020,RightFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Sergio Reguilón,Pass
16,381376,71,SavedShot,0.845,0.3459999847412109,0.108754001557827,Harry Kane,a,647,OpenPlay,2020,RightFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Son Heung-Min,Pass
17,381379,78,Goal,0.885,0.5,0.7611690163612366,Harry Kane,a,647,Penalty,2020,RightFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,,Standard
18,381380,89,BlockedShot,0.805,0.4,0.0559476017951965,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14471,Manchester United,Tottenham,1,6,2020-10-04 15:30:00,Moussa Sissoko,Pass
19,382653,7,Goal,0.8,0.6090000152587891,0.0563336983323097,Harry Kane,h,647,OpenPlay,2020,RightFoot,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,Son Heung-Min,TakeOn
20,382654,15,Goal,0.9540000152587892,0.455,0.5141159892082214,Harry Kane,h,647,OpenPlay,2020,Head,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,Sergio Reguilón,Cross
21,382662,51,MissedShots,0.7390000152587891,0.4809999847412109,0.0186832994222641,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,,None
22,382665,60,SavedShot,0.785,0.635,0.0452375002205371,Harry Kane,h,647,OpenPlay,2020,RightFoot,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,Pierre-Emile Højbjerg,Pass
23,382666,66,BlockedShot,0.84,0.349000015258789,0.0682490989565849,Harry Kane,h,647,OpenPlay,2020,RightFoot,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,Son Heung-Min,Pass
24,382668,78,ShotOnPost,0.769000015258789,0.4570000076293945,0.034349400550127,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14483,Tottenham,West Ham,3,3,2020-10-18 15:30:00,Son Heung-Min,Pass
25,384263,2,MissedShots,0.9490000152587892,0.3039999961853027,0.108814999461174,Harry Kane,a,647,OpenPlay,2020,RightFoot,14488,Burnley,Tottenham,0,1,2020-10-26 20:00:00,Toby Alderweireld,Throughball
26,384270,46,BlockedShot,0.7930000305175782,0.364000015258789,0.0307173002511262,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14488,Burnley,Tottenham,0,1,2020-10-26 20:00:00,Lucas Moura,Pass
27,384279,74,BlockedShot,0.8730000305175781,0.2739999961853027,0.0353666990995407,Harry Kane,a,647,OpenPlay,2020,RightFoot,14488,Burnley,Tottenham,0,1,2020-10-26 20:00:00,Erik Lamela,Pass
28,384280,75,MissedShots,0.889000015258789,0.4820000076293945,0.0440055988729,Harry Kane,a,647,FromCorner,2020,Head,14488,Burnley,Tottenham,0,1,2020-10-26 20:00:00,Erik Lamela,Cross
29,385407,12,Goal,0.885,0.5,0.7611690163612366,Harry Kane,h,647,Penalty,2020,RightFoot,14503,Tottenham,Brighton,2,1,2020-11-01 19:15:00,,Standard
30,385417,70,ShotOnPost,0.9840000152587892,0.555,0.5881869792938232,Harry Kane,h,647,FromCorner,2020,RightFoot,14503,Tottenham,Brighton,2,1,2020-11-01 19:15:00,Gareth Bale,Aerial
31,386345,47,BlockedShot,0.815,0.6719999694824219,0.0327236987650394,Harry Kane,a,647,OpenPlay,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,Tanguy NDombele Alvaro,Pass
32,386347,54,MissedShots,0.9640000152587892,0.5970000076293945,0.0324841998517513,Harry Kane,a,647,SetPiece,2020,Head,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,Gareth Bale,Aerial
33,386351,59,BlockedShot,0.85,0.364000015258789,0.0681589990854263,Harry Kane,a,647,OpenPlay,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,Tanguy NDombele Alvaro,Pass
34,386359,73,MissedShots,0.8480000305175781,0.6759999847412109,0.0281141996383667,Harry Kane,a,647,SetPiece,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,,Rebound
35,386358,73,BlockedShot,0.815,0.6759999847412109,0.0875274017453193,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,,Standard
36,386360,79,BlockedShot,0.745999984741211,0.4329999923706055,0.0177590996026992,Harry Kane,a,647,OpenPlay,2020,RightFoot,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,Carlos Vinicius,Pass
37,386365,87,Goal,0.938000030517578,0.4620000076293945,0.4016250073909759,Harry Kane,a,647,OpenPlay,2020,Head,14513,West Bromwich Albion,Tottenham,0,1,2020-11-08 12:00:00,Matt Doherty,Cross
38,389548,29,MissedShots,0.7530000305175781,0.6990000152587891,0.0445922017097473,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14529,Chelsea,Tottenham,0,0,2020-11-29 16:30:00,,Standard
39,390928,28,BlockedShot,0.8469999694824218,0.6909999847412109,0.0513057000935077,Harry Kane,h,647,OpenPlay,2020,RightFoot,14542,Tottenham,Arsenal,2,0,2020-12-06 16:30:00,Steven Bergwijn,Pass
40,390931,45,Goal,0.943000030517578,0.6559999847412109,0.1239669993519783,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14542,Tottenham,Arsenal,2,0,2020-12-06 16:30:00,Son Heung-Min,Pass
41,390936,80,MissedShots,0.9340000152587892,0.484000015258789,0.1266639977693557,Harry Kane,h,647,SetPiece,2020,Head,14542,Tottenham,Arsenal,2,0,2020-12-06 16:30:00,Son Heung-Min,Cross
42,392183,19,SavedShot,0.9230000305175782,0.56,0.0305835008621215,Harry Kane,a,647,FromCorner,2020,Head,14545,Crystal Palace,Tottenham,1,1,2020-12-13 14:15:00,Son Heung-Min,Aerial
43,392184,22,Goal,0.7119999694824218,0.545,0.0141546996310353,Harry Kane,a,647,OpenPlay,2020,RightFoot,14545,Crystal Palace,Tottenham,1,1,2020-12-13 14:15:00,Son Heung-Min,Pass
44,392186,27,MissedShots,0.7069999694824218,0.6630000305175782,0.0336800999939441,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14545,Crystal Palace,Tottenham,1,1,2020-12-13 14:15:00,,Standard
45,392203,83,BlockedShot,0.7430000305175781,0.67,0.0448222011327743,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14545,Crystal Palace,Tottenham,1,1,2020-12-13 14:15:00,,Standard
46,392205,85,SavedShot,0.921999969482422,0.4659999847412109,0.3813390135765075,Harry Kane,a,647,OpenPlay,2020,Head,14545,Crystal Palace,Tottenham,1,1,2020-12-13 14:15:00,Serge Aurier,Rebound
47,393461,49,MissedShots,0.7819999694824219,0.911999969482422,0.009209300391376,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14563,Liverpool,Tottenham,2,1,2020-12-16 20:00:00,,BallRecovery
48,393462,51,MissedShots,0.789000015258789,0.349000015258789,0.0261291991919279,Harry Kane,a,647,OpenPlay,2020,RightFoot,14563,Liverpool,Tottenham,2,1,2020-12-16 20:00:00,Giovani Lo Celso,Pass
49,393466,62,MissedShots,0.941999969482422,0.5129999923706055,0.432779997587204,Harry Kane,a,647,FromCorner,2020,Head,14563,Liverpool,Tottenham,2,1,2020-12-16 20:00:00,Son Heung-Min,Cross
50,393471,78,MissedShots,0.86,0.7230000305175781,0.0320844985544681,Harry Kane,a,647,OpenPlay,2020,RightFoot,14563,Liverpool,Tottenham,2,1,2020-12-16 20:00:00,Toby Alderweireld,Chipped
51,394577,33,SavedShot,0.7519999694824219,0.2920000076293945,0.0428554005920887,Harry Kane,h,647,DirectFreekick,2020,RightFoot,14573,Tottenham,Leicester,0,2,2020-12-20 14:15:00,,Standard
52,394578,40,MissedShots,0.9440000152587892,0.4970000076293945,0.075974203646183,Harry Kane,h,647,FromCorner,2020,Head,14573,Tottenham,Leicester,0,2,2020-12-20 14:15:00,Son Heung-Min,Aerial
53,394579,41,MissedShots,0.92,0.5720000076293945,0.0637188032269477,Harry Kane,h,647,FromCorner,2020,Head,14573,Tottenham,Leicester,0,2,2020-12-20 14:15:00,Son Heung-Min,Cross
54,394587,60,SavedShot,0.8090000152587891,0.5520000076293945,0.1018150001764297,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14573,Tottenham,Leicester,0,2,2020-12-20 14:15:00,Son Heung-Min,TakeOn
55,395806,8,BlockedShot,0.938000030517578,0.56,0.1278890073299408,Harry Kane,a,647,SetPiece,2020,Head,14584,Wolverhampton Wanderers,Tottenham,1,1,2020-12-27 19:15:00,Son Heung-Min,Cross
56,396276,16,MissedShots,0.8980000305175782,0.69,0.0733300969004631,Harry Kane,h,647,SetPiece,2020,LeftFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,,TakeOn
57,396281,28,Goal,0.885,0.5,0.7611690163612366,Harry Kane,h,647,Penalty,2020,RightFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,,Standard
58,396283,30,MissedShots,0.9009999847412108,0.6329999923706054,0.0711229965090751,Harry Kane,h,647,SetPiece,2020,RightFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,Steven Bergwijn,Pass
59,396294,52,MissedShots,0.8909999847412109,0.735999984741211,0.0489424988627433,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,Son Heung-Min,TakeOn
60,396299,65,SavedShot,0.926999969482422,0.3179999923706054,0.0871959999203682,Harry Kane,h,647,OpenPlay,2020,RightFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,Steven Bergwijn,Pass
61,396301,72,MissedShots,0.4529999923706054,0.580999984741211,0.0088650695979595,Harry Kane,h,647,OpenPlay,2020,RightFoot,14599,Tottenham,Leeds,3,0,2021-01-02 12:30:00,,None
62,398721,24,Goal,0.9180000305175782,0.4640000152587891,0.3178659975528717,Harry Kane,h,647,OpenPlay,2020,Head,14589,Tottenham,Fulham,1,1,2021-01-13 20:00:00,Sergio Reguilón,Cross
63,398722,29,MissedShots,0.955,0.445,0.5096589922904968,Harry Kane,h,647,OpenPlay,2020,Head,14589,Tottenham,Fulham,1,1,2021-01-13 20:00:00,Serge Aurier,Cross
64,399374,0,BlockedShot,0.7719999694824219,0.4670000076293945,0.0286392997950315,Harry Kane,a,647,OpenPlay,2020,RightFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,,None
65,399384,39,Goal,0.7869999694824219,0.52,0.084772802889347,Harry Kane,a,647,OpenPlay,2020,RightFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,Pierre-Emile Højbjerg,TakeOn
66,399389,49,SavedShot,0.7440000152587891,0.5870000076293945,0.0214204005897045,Harry Kane,a,647,SetPiece,2020,LeftFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,Pierre-Emile Højbjerg,Pass
67,399390,54,MissedShots,0.8180000305175781,0.5259999847412109,0.0585542991757392,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,,None
68,399395,68,BlockedShot,0.6959999847412109,0.5520000076293945,0.0254216995090246,Harry Kane,a,647,OpenPlay,2020,RightFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,Ben Davies,TakeOn
69,399401,90,MissedShots,0.85,0.5629999923706055,0.117135003209114,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14622,Sheffield United,Tottenham,1,3,2021-01-17 14:00:00,Son Heung-Min,Pass
70,403545,14,MissedShots,0.855999984741211,0.5970000076293945,0.0835023000836372,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14663,Tottenham,West Bromwich Albion,2,0,2021-02-07 12:00:00,Serge Aurier,Pass
71,403546,17,MissedShots,0.9080000305175782,0.6370000076293946,0.3271819949150085,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14663,Tottenham,West Bromwich Albion,2,0,2021-02-07 12:00:00,,None
72,403547,18,BlockedShot,0.865999984741211,0.57,0.0996273010969162,Harry Kane,h,647,OpenPlay,2020,RightFoot,14663,Tottenham,West Bromwich Albion,2,0,2021-02-07 12:00:00,Erik Lamela,Pass
73,403549,36,SavedShot,0.875,0.34,0.0676235035061836,Harry Kane,h,647,OpenPlay,2020,RightFoot,14663,Tottenham,West Bromwich Albion,2,0,2021-02-07 12:00:00,Lucas Moura,Pass
74,403555,53,Goal,0.9080000305175782,0.615,0.3259359896183014,Harry Kane,h,647,OpenPlay,2020,RightFoot,14663,Tottenham,West Bromwich Albion,2,0,2021-02-07 12:00:00,Pierre-Emile Højbjerg,Pass
75,404415,13,ShotOnPost,0.7809999847412109,0.2829999923706054,0.052819401025772,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14671,Manchester City,Tottenham,3,0,2021-02-13 17:30:00,,Standard
76,404426,68,SavedShot,0.799000015258789,0.5940000152587891,0.0160959996283054,Harry Kane,a,647,OpenPlay,2020,Head,14671,Manchester City,Tottenham,3,0,2021-02-13 17:30:00,,Interception
77,405814,12,MissedShots,0.8519999694824218,0.3010000038146972,0.0405497997999191,Harry Kane,a,647,OpenPlay,2020,RightFoot,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,Erik Lamela,Pass
78,405815,15,BlockedShot,0.905,0.53,0.049729898571968,Harry Kane,a,647,FromCorner,2020,LeftFoot,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,Eric Dier,Aerial
79,405816,19,MissedShots,0.9030000305175782,0.5059999847412109,0.0404530987143516,Harry Kane,a,647,OpenPlay,2020,Head,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,,Aerial
80,405823,46,SavedShot,0.8730000305175781,0.2710000038146972,0.0360036008059978,Harry Kane,a,647,OpenPlay,2020,RightFoot,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,Pierre-Emile Højbjerg,Pass
81,405827,58,MissedShots,0.764000015258789,0.5879999923706055,0.0696306005120277,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,,Standard
82,405831,72,MissedShots,0.8130000305175781,0.5,0.057862501591444,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14683,West Ham,Tottenham,2,1,2021-02-21 12:00:00,Lucas Moura,Pass
83,407253,4,BlockedShot,0.78,0.33,0.027675399556756,Harry Kane,h,647,OpenPlay,2020,LeftFoot,14693,Tottenham,Burnley,4,0,2021-02-28 14:00:00,Serge Aurier,Pass
84,407254,5,MissedShots,0.7880000305175782,0.55,0.0451426990330219,Harry Kane,h,647,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2021-02-28 14:00:00,Tanguy NDombele Alvaro,Pass
85,407259,14,Goal,0.8540000152587891,0.7,0.0477555990219116,Harry Kane,h,647,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2021-02-28 14:00:00,Gareth Bale,Chipped
86,407273,70,SavedShot,0.7519999694824219,0.4720000076293945,0.073743499815464,Harry Kane,h,647,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2021-02-28 14:00:00,Son Heung-Min,Pass
87,407277,91,MissedShots,0.914000015258789,0.5409999847412109,0.5503100156784058,Harry Kane,h,647,OpenPlay,2020,RightFoot,14693,Tottenham,Burnley,4,0,2021-02-28 14:00:00,Son Heung-Min,Pass
88,408223,17,SavedShot,0.925,0.495,0.3379270136356354,Harry Kane,a,647,OpenPlay,2020,Head,14757,Fulham,Tottenham,0,1,2021-03-04 18:00:00,Son Heung-Min,Chipped
89,408227,30,BlockedShot,0.7230000305175781,0.549000015258789,0.0238083992153406,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14757,Fulham,Tottenham,0,1,2021-03-04 18:00:00,Dele Alli,Pass
90,408238,82,SavedShot,0.89,0.5179999923706055,0.4076510071754455,Harry Kane,a,647,OpenPlay,2020,RightFoot,14757,Fulham,Tottenham,0,1,2021-03-04 18:00:00,Erik Lamela,Throughball
91,409201,35,BlockedShot,0.8090000152587891,0.6840000152587891,0.0791004970669746,Harry Kane,h,647,DirectFreekick,2020,RightFoot,14702,Tottenham,Crystal Palace,4,1,2021-03-07 19:15:00,,Standard
92,409205,51,Goal,0.7969999694824219,0.3220000076293945,0.0264330003410577,Harry Kane,h,647,OpenPlay,2020,RightFoot,14702,Tottenham,Crystal Palace,4,1,2021-03-07 19:15:00,Matt Doherty,Pass
93,409209,57,MissedShots,0.8809999847412109,0.475,0.0241733994334936,Harry Kane,h,647,OpenPlay,2020,Head,14702,Tottenham,Crystal Palace,4,1,2021-03-07 19:15:00,Matt Doherty,Aerial
94,409211,60,MissedShots,0.925,0.5370000076293945,0.046034101396799,Harry Kane,h,647,FromCorner,2020,Head,14702,Tottenham,Crystal Palace,4,1,2021-03-07 19:15:00,Gareth Bale,Aerial
95,409214,75,Goal,0.9669999694824218,0.4679999923706054,0.6745330095291138,Harry Kane,h,647,OpenPlay,2020,Head,14702,Tottenham,Crystal Palace,4,1,2021-03-07 19:15:00,Son Heung-Min,Pass
96,410606,78,SavedShot,0.9059999847412108,0.6370000076293946,0.0141626000404357,Harry Kane,a,647,FromCorner,2020,Head,14705,Arsenal,Tottenham,2,1,2021-03-14 16:30:00,Lucas Moura,Cross
97,410607,88,ShotOnPost,0.7440000152587891,0.76,0.0339222997426986,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14705,Arsenal,Tottenham,2,1,2021-03-14 16:30:00,,Standard
98,410609,94,MissedShots,0.715999984741211,0.4720000076293945,0.0442182011902332,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14705,Arsenal,Tottenham,2,1,2021-03-14 16:30:00,,Standard
99,412044,4,BlockedShot,0.7719999694824219,0.3209999847412109,0.0233155004680156,Harry Kane,a,647,OpenPlay,2020,RightFoot,14606,Aston Villa,Tottenham,0,2,2021-03-21 19:30:00,Giovani Lo Celso,Pass
100,412047,41,MissedShots,0.9390000152587892,0.4540000152587891,0.0575597994029521,Harry Kane,a,647,FromCorner,2020,Head,14606,Aston Villa,Tottenham,0,2,2021-03-21 19:30:00,Lucas Moura,Aerial
101,412049,47,BlockedShot,0.784000015258789,0.5570000076293945,0.044675700366497,Harry Kane,a,647,OpenPlay,2020,RightFoot,14606,Aston Villa,Tottenham,0,2,2021-03-21 19:30:00,Lucas Moura,Pass
102,412053,67,Goal,0.885,0.5,0.7611690163612366,Harry Kane,a,647,Penalty,2020,RightFoot,14606,Aston Villa,Tottenham,0,2,2021-03-21 19:30:00,,Standard
103,413075,6,BlockedShot,0.7609999847412109,0.4779999923706055,0.0739575996994972,Harry Kane,a,647,DirectFreekick,2020,RightFoot,14732,Newcastle United,Tottenham,2,2,2021-04-04 13:05:00,,Standard
104,413076,7,SavedShot,0.9209999847412108,0.7180000305175781,0.0502392016351223,Harry Kane,a,647,OpenPlay,2020,LeftFoot,14732,Newcastle United,Tottenham,2,2,2021-04-04 13:05:00,Sergio Reguilón,Pass
