,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,545906,11,MissedShots,0.830999984741211,0.4329999923706055,0.0533996634185314,Harry Kane,a,647,FromCorner,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,,Rebound
1,545904,11,BlockedShot,0.879000015258789,0.2470000076293945,0.0303755104541778,Harry Kane,a,647,OpenPlay,2015,RightFoot,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Christian Eriksen,Pass
2,545920,87,BlockedShot,0.901999969482422,0.499000015258789,0.0984154790639877,Harry Kane,a,647,SetPiece,2015,Head,81,Manchester United,Tottenham,1,0,2015-08-08 15:45:00,Christian Eriksen,Cross
3,51909,51,SavedShot,0.9290000152587892,0.5459999847412109,0.4999369978904724,Harry Kane,h,647,OpenPlay,2015,RightFoot,95,Tottenham,Stoke,2,2,2015-08-15 18:00:00,Nacer Chadli,Cross
4,56698,37,BlockedShot,0.7919999694824219,0.6409999847412109,0.0301821995526552,Harry Kane,a,647,OpenPlay,2015,RightFoot,105,Leicester,Tottenham,1,1,2015-08-22 18:00:00,Erik Lamela,Pass
5,56699,44,MissedShots,0.94,0.725999984741211,0.0237199999392032,Harry Kane,a,647,OpenPlay,2015,LeftFoot,105,Leicester,Tottenham,1,1,2015-08-22 18:00:00,Hugo Lloris,Pass
6,56709,62,SavedShot,0.8930000305175781,0.5479999923706055,0.0908029004931449,Harry Kane,a,647,OpenPlay,2015,RightFoot,105,Leicester,Tottenham,1,1,2015-08-22 18:00:00,,None
7,56712,66,MissedShots,0.7759999847412109,0.445,0.0324352011084556,Harry Kane,a,647,OpenPlay,2015,RightFoot,105,Leicester,Tottenham,1,1,2015-08-22 18:00:00,,Dispossessed
8,57750,9,MissedShots,0.749000015258789,0.5779999923706055,0.0233510006219148,Harry Kane,h,647,OpenPlay,2015,RightFoot,118,Tottenham,Everton,0,0,2015-08-29 20:30:00,Mousa Dembélé,Pass
9,57755,19,MissedShots,0.6980000305175781,0.5670000076293945,0.0128766000270843,Harry Kane,h,647,OpenPlay,2015,RightFoot,118,Tottenham,Everton,0,0,2015-08-29 20:30:00,Nabil Bentaleb,Pass
10,57757,22,SavedShot,0.855999984741211,0.4120000076293945,0.4717639982700348,Harry Kane,h,647,OpenPlay,2015,RightFoot,118,Tottenham,Everton,0,0,2015-08-29 20:30:00,Ryan Mason,Throughball
11,57767,64,BlockedShot,0.725,0.425,0.0184972006827592,Harry Kane,h,647,OpenPlay,2015,RightFoot,118,Tottenham,Everton,0,0,2015-08-29 20:30:00,Nabil Bentaleb,Pass
12,57768,65,BlockedShot,0.8730000305175781,0.5520000076293945,0.1104879975318908,Harry Kane,h,647,OpenPlay,2015,RightFoot,118,Tottenham,Everton,0,0,2015-08-29 20:30:00,Nacer Chadli,Pass
13,57944,14,MissedShots,0.754000015258789,0.625,0.0219976995140314,Harry Kane,a,647,OpenPlay,2015,RightFoot,128,Sunderland,Tottenham,0,1,2015-09-13 16:30:00,Dele Alli,Pass
14,57948,25,BlockedShot,0.8469999694824218,0.485,0.0590891987085342,Harry Kane,a,647,OpenPlay,2015,RightFoot,128,Sunderland,Tottenham,0,1,2015-09-13 16:30:00,Kyle Walker,Chipped
15,57949,30,BlockedShot,0.9359999847412108,0.2810000038146972,0.0470779985189437,Harry Kane,a,647,OpenPlay,2015,RightFoot,128,Sunderland,Tottenham,0,1,2015-09-13 16:30:00,Nacer Chadli,Chipped
16,57965,85,SavedShot,0.9340000152587892,0.3160000038146973,0.2723619937896728,Harry Kane,a,647,OpenPlay,2015,RightFoot,128,Sunderland,Tottenham,0,1,2015-09-13 16:30:00,Andros Townsend,Pass
17,58297,2,MissedShots,0.915,0.519000015258789,0.0896530002355575,Harry Kane,h,647,FromCorner,2015,Head,138,Tottenham,Crystal Palace,1,0,2015-09-20 16:30:00,Erik Lamela,Cross
18,58307,31,MissedShots,0.8730000305175781,0.355,0.071544699370861,Harry Kane,h,647,OpenPlay,2015,RightFoot,138,Tottenham,Crystal Palace,1,0,2015-09-20 16:30:00,Dele Alli,Pass
19,58325,77,BlockedShot,0.799000015258789,0.7269999694824218,0.0224096998572349,Harry Kane,h,647,OpenPlay,2015,RightFoot,138,Tottenham,Crystal Palace,1,0,2015-09-20 16:30:00,Son Heung-Min,Pass
20,58326,80,BlockedShot,0.7119999694824218,0.5570000076293945,0.0415830016136169,Harry Kane,h,647,DirectFreekick,2015,RightFoot,138,Tottenham,Crystal Palace,1,0,2015-09-20 16:30:00,,Standard
21,58510,31,MissedShots,0.754000015258789,0.4779999923706055,0.0189068000763654,Harry Kane,h,647,OpenPlay,2015,RightFoot,141,Tottenham,Manchester City,4,1,2015-09-26 15:45:00,,TakeOn
22,58513,40,SavedShot,0.850999984741211,0.534000015258789,0.060301799327135,Harry Kane,h,647,OpenPlay,2015,LeftFoot,141,Tottenham,Manchester City,4,1,2015-09-26 15:45:00,,Rebound
