,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,309898,18,Goal,0.933000030517578,0.3670000076293945,0.3668169975280761,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Roberto Firmino,Pass
1,309908,53,MissedShots,0.88,0.3390000152587891,0.0779922977089881,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11643,Liverpool,Norwich,4,1,2019-08-09 20:00:00,Fabinho,BallRecovery
2,310445,32,MissedShots,0.9390000152587892,0.720999984741211,0.0417416989803314,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11658,Southampton,Liverpool,1,2,2019-08-17 15:00:00,Alex Oxlade-Chamberlain,Chipped
3,310449,49,BlockedShot,0.8009999847412109,0.31,0.0711997970938682,Mohamed Salah,a,1250,DirectFreekick,2019,LeftFoot,11658,Southampton,Liverpool,1,2,2019-08-17 15:00:00,,Standard
4,310454,55,SavedShot,0.9230000305175782,0.3570000076293945,0.3007830083370209,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11658,Southampton,Liverpool,1,2,2019-08-17 15:00:00,Sadio Mané,Chipped
5,312712,38,MissedShots,0.875,0.2920000076293945,0.0451099015772342,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Trent Alexander-Arnold,Pass
6,312718,48,Goal,0.885,0.5,0.7611690163612366,Mohamed Salah,h,1250,Penalty,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,,Standard
7,312719,50,BlockedShot,0.8069999694824219,0.2579999923706054,0.0320192985236644,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Sadio Mané,Chipped
8,312724,55,MissedShots,0.9469999694824218,0.525,0.5426520109176636,Mohamed Salah,h,1250,OpenPlay,2019,Head,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Andrew Robertson,Cross
9,312725,58,Goal,0.8569999694824219,0.349000015258789,0.2207230031490326,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,Fabinho,TakeOn
10,316005,4,SavedShot,0.87,0.3270000076293945,0.0600182004272937,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Sadio Mané,Pass
11,316016,59,BlockedShot,0.855999984741211,0.4520000076293945,0.0865631029009819,Mohamed Salah,a,1250,SetPiece,2019,LeftFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Trent Alexander-Arnold,Pass
12,316017,60,SavedShot,0.8109999847412109,0.5070000076293946,0.1046539992094039,Mohamed Salah,a,1250,OpenPlay,2019,RightFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Fabinho,BallRecovery
13,317029,25,BlockedShot,0.88,0.6880000305175781,0.0299215000122785,Mohamed Salah,h,1250,OpenPlay,2019,RightFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14 11:30:00,Trent Alexander-Arnold,Cross
14,317041,61,BlockedShot,0.89,0.5629999923706055,0.1282369941473007,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14 11:30:00,Roberto Firmino,Pass
15,317048,71,Goal,0.9290000152587892,0.615,0.3955729901790619,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11683,Liverpool,Newcastle United,3,1,2019-09-14 11:30:00,Roberto Firmino,Pass
16,321267,38,BlockedShot,0.8780000305175781,0.365,0.1024399995803833,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11701,Chelsea,Liverpool,1,2,2019-09-22 15:30:00,Trent Alexander-Arnold,Chipped
17,322358,25,MissedShots,0.8640000152587891,0.31,0.0433585010468959,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11703,Sheffield United,Liverpool,0,1,2019-09-28 11:30:00,,None
18,322373,71,SavedShot,0.85,0.415,0.1178750023245811,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11703,Sheffield United,Liverpool,0,1,2019-09-28 11:30:00,,TakeOn
19,322374,77,SavedShot,0.889000015258789,0.5629999923706055,0.4135200083255768,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11703,Sheffield United,Liverpool,0,1,2019-09-28 11:30:00,,None
20,322379,89,BlockedShot,0.865999984741211,0.404000015258789,0.162102997303009,Mohamed Salah,a,1250,OpenPlay,2019,LeftFoot,11703,Sheffield United,Liverpool,0,1,2019-09-28 11:30:00,Fabinho,TakeOn
21,324090,3,SavedShot,0.909000015258789,0.2639999961853027,0.0378746017813682,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,,None
22,324098,45,BlockedShot,0.938000030517578,0.4609999847412109,0.1326960027217865,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,Trent Alexander-Arnold,Foul
23,324097,45,SavedShot,0.9569999694824218,0.4659999847412109,0.6358140110969543,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,,None
24,324099,53,BlockedShot,0.8080000305175781,0.2610000038146973,0.059094201773405,Mohamed Salah,h,1250,DirectFreekick,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,,Standard
25,324100,56,BlockedShot,0.825,0.509000015258789,0.0857236012816429,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,Sadio Mané,Pass
26,328005,20,SavedShot,0.7909999847412109,0.4059999847412109,0.0306927002966403,Mohamed Salah,h,1250,OpenPlay,2019,LeftFoot,11736,Liverpool,Tottenham,2,1,2019-10-27 16:30:00,Sadio Mané,HeadPass
